Code,Product,Quantity on Hand,Reserved,Available
03435,Wardah Crystallure Supreme Revitalizing Rich Cream 10 g <SFG>,2458.0,0.0,2458.0
03470,Instaperfect QUICKMATTE Loose Powder 11 Fair Pink 9 g,7898.0,0.0,7898.0
03471,Instaperfect QUICKMATTE Loose Powder 32 True Beige 9 g,8160.0,0.0,8160.0
03472,Instaperfect SKINFOCUS Cover Foundation 11 Fair Pink 30 ml,5707.0,0.0,5707.0
03473,Instaperfect SKINFOCUS Cover Foundation 22 Light Ivory 30 ml,5634.0,0.0,5634.0
03474,Instaperfect SKINFOCUS Cover Foundation 32 True Beige 30 ml,5854.0,0.0,5854.0
03601,Instaperfect Hi Glow Fluid Highlighter Rose Quartz,5897.0,0.0,5897.0
03673,Instaperfect QUICKMATTE Loose Powder 33 Warm Olive 9 g,8080.0,0.0,8080.0
04166,Instaperfect QUICKMATTE Loose Powder 43 Creme Sand 9 g,5750.0,0.0,5750.0
04167,Instaperfect QUICKMATTE Loose Powder 52 Almond 9 g,6013.0,0.0,6013.0
04169,Instaperfect SKINFOCUS Cover Foundation 52 Almond 30 ml,4564.0,0.0,4564.0
04249,Emina Sun Battle SPF 30 PA+++ 23 ml,155854.0,0.0,155854.0
04555,Wonderly Brightening Serum Body Lotion Fearless 300 ml,6136.0,0.0,6136.0
04556,Wonderly Brightening Serum Body Lotion Royale 300 ml,6160.0,0.0,6160.0
04557,Wonderly Brightening Serum Body Lotion Voyage 300 ml,6124.0,0.0,6124.0
04558,Wonderly Brightening Serum Body Lotion Amore 300 ml,6136.0,0.0,6136.0
04559,Wonderly Brightening Serum Exfoliating Lotion Mode 300 ml,5956.0,0.0,5956.0
04560,Wonderly Advanced Brightening Face Serum 15 ml,43954.0,0.0,43954.0
04561,Wonderly Acne & Brightening Therapy Serum 15 ml,16204.0,0.0,16204.0
04704,Wardah Exclusive Matte Lip Cream 05 Speachless 4g,46080.0,0.0,46080.0
04708,Wardah Exclusive Matte Lip Cream 09 Mauve On ! 4g,44785.0,0.0,44785.0
04712,Wardah Exclusive Matte Lip Cream 13 Fruit Punch 4g,46080.0,0.0,46080.0
04721,MAKE OVER Powerstay Suede Blush 10 Magnetic Rush 6 g,2802.0,2802.0,0.0
04778,Emina Ms. Pimple Face Toner 100 ml (NEW),8925.0,0.0,8925.0
P2024,Wardah NFS Crystal Secret Brightening Day Cream 3 ml Sachet,1902.0,0.0,1902.0
P2025,Wardah NFS UV Shield Aqua Fresh Essence SPF 50,26.0,0.0,26.0
